,bin_centres,average_attention
153,81.75,1.3415905071340393e-05
154,82.25,1.1522761253283052e-05
155,82.75,8.959360731938285e-06
156,83.25,7.474355093851746e-06
157,83.75,7.015516814262744e-06
158,84.25,7.373971215972609e-06
159,84.75,8.299351905438303e-06
160,85.25,8.876725050242985e-06
161,85.75,8.870400436348935e-06
162,86.25,7.561219423035624e-06
163,86.75,5.855349543406068e-06
164,87.25,5.4903621088331985e-06
165,87.75,5.881596848533224e-06
166,88.25,6.2003578115365745e-06
167,88.75,5.903814834588677e-06
168,89.25,5.269989023389827e-06
169,89.75,4.75367826606345e-06
170,90.25,4.6326866031228565e-06
171,90.75,5.004684445809148e-06
172,91.25,5.587555559106016e-06
173,91.75,5.935832954057126e-06
174,92.25,6.208148219082907e-06
175,92.75,6.746435474623825e-06
176,93.25,7.553342043769979e-06
177,93.75,8.271286304574164e-06
178,94.25,9.033974517228752e-06
179,94.75,9.911801823596616e-06
180,95.25,1.1164540071143258e-05
181,95.75,1.2528592952145649e-05
182,96.25,1.427513970751136e-05
183,96.75,1.6229223274534288e-05
184,97.25,1.8909223256792544e-05
185,97.75,2.196972391372569e-05
186,98.25,2.4396204346482652e-05
187,98.75,2.6419442692436517e-05
188,99.25,2.911828356541233e-05
189,99.75,3.276917726061522e-05
190,100.25,3.637639343642262e-05
191,100.75,4.074682888931916e-05
192,101.25,4.5938419405554096e-05
193,101.75,5.685129496339062e-05
194,102.25,7.377223885083433e-05
195,102.75,7.878399325046349e-05
196,103.25,7.6772074403513e-05
197,103.75,8.218574703647787e-05
198,104.25,9.728846376682871e-05
199,104.75,0.00010191946200522925
200,105.25,0.00010167334061013615
201,105.75,0.00011948508485891713
202,106.25,0.00016115260863552798
203,106.75,0.0001585491983339041
204,107.25,0.00012784072946987128
205,107.75,0.00011292625830384378
206,108.25,0.00010178693838222754
207,108.75,9.455070838623545e-05
208,109.25,9.714911256051687e-05
209,109.75,0.00011250950813663801
210,110.25,0.00014437672339244833
211,110.75,0.00019731351480580295
212,111.25,0.0002986641750910338
213,111.75,0.00046111572695335695
214,112.25,0.0006545214136996312
215,112.75,0.0005301766067127934
216,113.25,0.00028423009709079255
217,113.75,0.0001656858779265759
218,114.25,0.0001353626741120457
219,114.75,0.00010554004055201789
220,115.25,0.00011022891041906184
221,115.75,0.00016086410074872976
222,116.25,0.00018826865432718887
223,116.75,0.0001625709763744325
224,117.25,9.036281127484103e-05
225,117.75,7.133270483304231e-05
226,118.25,4.886169656183668e-05
227,118.75,3.049350399623264e-05
228,119.25,2.6379214077720153e-05
229,119.75,2.1708670064726543e-05
230,120.25,2.3424576908590532e-05
231,120.75,2.1741046805115523e-05
232,121.25,2.221609924026985e-05
233,121.75,2.3397650996311436e-05
234,122.25,2.484895549903214e-05
235,122.75,2.764433880511698e-05
236,123.25,2.5001584413141226e-05
237,123.75,3.111219162910831e-05
238,124.25,4.817581555834708e-05
239,124.75,3.768182367053666e-05
240,125.25,3.521747559768639e-05
241,125.75,2.8666381420857568e-05
242,126.25,3.721587615178083e-05
243,126.75,3.221879815632201e-05
244,127.25,3.069556677750884e-05
245,127.75,3.544899057879175e-05
246,128.25,3.5566903843658674e-05
247,128.75,4.4464928097227854e-05
248,129.25,5.50488231569321e-05
249,129.75,3.4947639639292375e-05
250,130.25,3.7607999799452024e-05
251,130.75,3.813799594028518e-05
252,131.25,4.152707861100571e-05
253,131.75,4.427377346678108e-05
254,132.25,4.48471946607291e-05
255,132.75,4.541473264792459e-05
256,133.25,4.561418809452742e-05
257,133.75,5.0842694016664246e-05
258,134.25,6.155493627895365e-05
259,134.75,6.7581798888594e-05
