,bin_centres,average_attention
390,200.25,0.006123791925910265
391,200.75,0.008012279741187572
392,201.25,0.009030109859187205
393,201.75,0.010037652180640557
394,202.25,0.010012585946687092
395,202.75,0.010816900824640763
396,203.25,0.011822422086591304
397,203.75,0.013450088668067371
398,204.25,0.013922904532689642
399,204.75,0.013514103578330702
400,205.25,0.01310634950511663
401,205.75,0.014296951653592151
402,206.25,0.014945599244211016
403,206.75,0.012180194779821374
404,207.25,0.00961859619056699
405,207.75,0.006608501706399669
406,208.25,0.004856170051030231
407,208.75,0.0038638378533523542
408,209.25,0.0027154115425148317
409,209.75,0.0020728312012444957
410,210.25,0.0015615219161907237
411,210.75,0.001649423405405363
412,211.25,0.0013421726386347262
413,211.75,0.0009289853631227707
414,212.25,0.0011364248962622422
415,212.75,0.0007134818650477864
416,213.25,0.0006396966311990699
417,213.75,0.0005342686346522758
418,214.25,0.0004389257385529107
419,214.75,0.00034535409593873593
420,215.25,0.00038895875720397315
421,215.75,0.00040978899450306157
422,216.25,0.00028082408073240274
423,216.75,0.0002549207817463522
424,217.25,0.00024142590479475347
425,217.75,0.0002803625138933671
426,218.25,0.00023937267209966947
427,218.75,0.00020635268607969968
428,219.25,0.0002205588628830117
429,219.75,0.0002025186584159782
430,220.25,0.0001860245065827452
431,220.75,0.0002148717916505111
432,221.25,0.0001958476008375641
433,221.75,0.00014730406592573117
434,222.25,0.00015461477582759585
435,222.75,0.00018468196987115403
436,223.25,0.00021172603977376149
437,223.75,0.00021166171144175233
438,224.25,0.000214697805868072
439,224.75,0.0002874814313114056
440,225.25,0.00026604497415283745
441,225.75,0.00023107012788861075
442,226.25,0.00021210700014523894
443,226.75,0.00018350135319438333
444,227.25,0.00018110466315002715
445,227.75,0.00022032198524235937
446,228.25,0.00021007795490515338
447,228.75,0.00018631615107299508
448,229.25,0.00014812742848968846
449,229.75,0.00013494305720165213
450,230.25,0.00014803994637041791
451,230.75,0.00013003981863116322
452,231.25,0.0001600486361497878
453,231.75,0.0001446309488951829
454,232.25,0.00012663854816609933
455,232.75,8.993320713107799e-05
456,233.25,8.859005300834444e-05
457,233.75,0.00010734319573393682
458,234.25,0.00010704796613130718
459,234.75,0.00011016450394762786
460,235.25,8.317767635599255e-05
461,235.75,7.383709413703284e-05
462,236.25,6.582943294582681e-05
463,236.75,5.36516255630022e-05
464,237.25,5.455318055935546e-05
465,237.75,5.425901231804794e-05
466,238.25,4.796548755727056e-05
467,238.75,4.3446696100595734e-05
468,239.25,4.260976334464527e-05
469,239.75,3.987949097006946e-05
470,240.25,4.065141034653626e-05
471,240.75,4.392404390060671e-05
472,241.25,5.767522962570899e-05
473,241.75,7.648545323837517e-05
474,242.25,4.716325634005661e-05
475,242.75,4.435077432504204e-05
476,243.25,5.778473116309283e-05
477,243.75,5.5234204510800323e-05
478,244.25,4.8106432969919516e-05
479,244.75,5.1810910748265846e-05
480,245.25,5.612416567462983e-05
481,245.75,3.879497923965184e-05
482,246.25,3.3350846804933436e-05
483,246.75,3.2475470930517994e-05
484,247.25,3.191104027048184e-05
485,247.75,3.1935011401428106e-05
486,248.25,3.2417232527744724e-05
487,248.75,3.124326233966459e-05
488,249.25,3.2180494688062114e-05
489,249.75,3.139786851790031e-05
490,250.25,3.238540280724681e-05
491,250.75,3.0429808560297224e-05
492,251.25,3.0186436357039086e-05
493,251.75,3.080965803437409e-05
494,252.25,2.9771561830179327e-05
495,252.75,3.0924823217993716e-05
496,253.25,3.1560340020962134e-05
497,253.75,3.335992927577951e-05
498,254.25,3.3298222496654014e-05
499,254.75,3.475066888533995e-05
500,255.25,3.972249428160286e-05
501,255.75,4.180175342520119e-05
502,256.25,5.1478288724513865e-05
503,256.75,5.582982318502262e-05
504,257.25,5.185513546632925e-05
505,257.75,4.951929483812801e-05
506,258.25,3.897645491222922e-05
507,258.75,3.6060757186990114e-05
508,259.25,3.316784048767222e-05
509,259.75,2.9889075355253258e-05
510,260.25,2.868066728485188e-05
511,260.75,2.8939241200543932e-05
512,261.25,2.675534650389275e-05
513,261.75,2.6060833855332555e-05
514,262.25,2.6069071209451378e-05
