,bin_centres,average_attention
278,144.25,1.5198501081566687e-05
279,144.75,1.6182933196574013e-05
280,145.25,1.7961276890187637e-05
281,145.75,1.818275436488943e-05
282,146.25,2.5293978390016912e-05
283,146.75,1.8838388991236166e-05
284,147.25,2.0797536733717642e-05
285,147.75,2.1711319765422263e-05
286,148.25,1.6669695604286163e-05
287,148.75,1.6467921606670993e-05
288,149.25,1.713234610452056e-05
289,149.75,1.640637927907586e-05
290,150.25,1.6947528765543512e-05
291,150.75,1.7387795930017435e-05
292,151.25,1.792249534673265e-05
293,151.75,2.1241156623278727e-05
294,152.25,3.088534609158305e-05
295,152.75,2.5978881501927555e-05
296,153.25,2.5272240581263517e-05
297,153.75,2.344765603244671e-05
298,154.25,2.170853807986488e-05
299,154.75,2.8085992341659392e-05
300,155.25,3.626952466094567e-05
301,155.75,2.8835106401860834e-05
302,156.25,2.6838503465947778e-05
303,156.75,4.2415451843933796e-05
304,157.25,5.112972821727588e-05
305,157.75,4.045522215232974e-05
306,158.25,7.662917605957434e-05
307,158.75,5.556497713695705e-05
308,159.25,5.70789174488869e-05
309,159.75,4.219959664745056e-05
310,160.25,3.866164442391529e-05
311,160.75,4.1800102607120425e-05
312,161.25,4.363563514706441e-05
313,161.75,6.459247363795326e-05
314,162.25,6.636339943112945e-05
315,162.75,7.126284298480694e-05
316,163.25,7.768384264832744e-05
317,163.75,7.389169274688549e-05
318,164.25,7.574469144077954e-05
319,164.75,7.843511160914997e-05
320,165.25,6.513565723028081e-05
321,165.75,5.9586201997249536e-05
322,166.25,5.307104684623155e-05
323,166.75,6.867918525590042e-05
324,167.25,8.106372377741e-05
325,167.75,8.479453049313187e-05
326,168.25,8.051423264209711e-05
327,168.75,6.985216740694823e-05
328,169.25,7.428049392348883e-05
329,169.75,8.684872497919666e-05
330,170.25,8.163697017637564e-05
331,170.75,8.521339966555754e-05
332,171.25,0.00010502518533852654
333,171.75,0.0001153671747244837
334,172.25,0.00010259286033364914
335,172.75,9.106394757425029e-05
336,173.25,9.008108749033982e-05
337,173.75,0.00011893799769811579
338,174.25,0.00012435470401629765
339,174.75,0.00011353029033456538
340,175.25,0.00011022618943208522
341,175.75,0.00010683515498640754
342,176.25,0.00010794058147221279
343,176.75,0.00010986028721189189
344,177.25,0.00010180168680619384
